UMAP_1,UMAP_2,leiden,patient_name,cell_type_scChat
-3.105686,7.530227,4,S2,Endothelial cells
8.366265,1.5112797,7,S2,Dendritic cells
4.9607196,1.861061,0,S2,Fibroblasts
8.872773,1.6427127,7,S2,Dendritic cells
-1.9165057,6.842748,1,S2,T cells
3.7099452,7.73342,6,S2,Epithelial cells
3.0950706,7.299163,6,S2,Epithelial cells
12.260693,12.555374,8,S2,Plasma cells
-5.0299516,4.55677,4,S2,Endothelial cells
10.700843,12.877522,8,S2,Plasma cells
-4.439664,5.5751243,4,S2,Endothelial cells
-5.3068395,4.52895,4,S2,Endothelial cells
-3.0300364,5.60395,1,S2,T cells
-4.0206995,9.846974,4,S2,Endothelial cells
-3.7455144,3.5834098,4,S2,Endothelial cells
-0.13681127,4.7431436,1,S2,T cells
-4.416525,6.473101,4,S2,Endothelial cells
7.044063,10.6157,10,S2,Smooth muscle cells
-1.7685556,5.5654316,1,S2,T cells
-4.1966186,7.8687043,4,S2,Endothelial cells
1.5857592,4.3095255,0,S2,Fibroblasts
0.8674652,5.3961496,1,S2,T cells
-0.4713243,7.9028177,1,S2,T cells
0.5811882,4.760707,1,S2,T cells
-4.790021,5.7847977,4,S2,Endothelial cells
7.2282777,7.6761475,10,S2,Smooth muscle cells
-0.7292638,4.8226886,1,S2,T cells
-4.384791,8.087477,4,S2,Endothelial cells
17.644543,6.90569,20,S2,Mesothelial cells
5.1510797,-4.82236,14,S2,Neutrophils
0.5003696,5.456141,1,S2,T cells
-3.7859268,7.1371365,4,S2,Endothelial cells
-0.8126793,4.005105,1,S2,T cells
-1.493218,6.0181026,1,S2,T cells
7.120337,7.6796885,10,S2,Smooth muscle cells
-0.585433,4.097238,1,S2,T cells
-0.3073638,7.2128296,1,S2,T cells
9.964506,12.467592,17,S2,Basophils
-0.55667794,6.9418426,1,S2,T cells
-3.543066,8.577971,4,S2,Endothelial cells
-3.1844141,6.054464,1,S2,T cells
18.104954,6.5254602,20,S2,Mesothelial cells
-3.7883964,7.1400437,4,S2,Endothelial cells
10.885473,12.563845,8,S2,Plasma cells
9.6677065,13.170368,17,S2,Basophils
11.853588,12.38173,8,S2,Plasma cells
-3.6777394,9.503346,4,S2,Endothelial cells
-1.9921768,7.0521035,1,S2,T cells
0.7302253,6.6352496,1,S2,T cells
-1.5013167,7.2525635,1,S2,T cells
-1.4648565,7.709658,1,S2,T cells
-4.6306806,6.712308,4,S2,Endothelial cells
-1.858384,6.0489254,1,S2,T cells
-0.7219127,6.4752216,1,S2,T cells
-5.105169,4.0530553,4,S2,Endothelial cells
14.9781275,0.3723642,21,S2,Schwann cells
-3.0594974,4.6090193,4,S2,Endothelial cells
-2.54745,2.2647977,4,S2,Endothelial cells
-2.0400667,6.1707816,1,S2,T cells
-1.7632041,7.0940533,1,S2,T cells
0.89489514,5.6077332,1,S2,T cells
4.1734195,1.9399521,0,S2,Fibroblasts
9.012933,1.2707154,7,S2,Dendritic cells
-1.5657526,8.442693,1,S2,T cells
-1.17394,4.2748194,1,S2,T cells
11.669555,13.151292,8,S2,Plasma cells
4.4402466,3.6035285,0,S2,Fibroblasts
-3.857033,3.282821,4,S2,Endothelial cells
-4.398854,3.7472792,4,S2,Endothelial cells
-1.9774611,4.6894307,1,S2,T cells
4.3304415,1.3686074,0,S2,Fibroblasts
-5.2636466,5.7043853,4,S2,Endothelial cells
-4.2775464,7.8014,4,S2,Endothelial cells
-2.5628743,5.2009974,1,S2,T cells
-0.18217275,6.3708067,1,S2,T cells
-1.1179526,4.0946283,1,S2,T cells
-1.6615359,5.6199093,1,S2,T cells
-1.3272767,6.076595,1,S2,T cells
-2.3878462,6.063168,1,S2,T cells
-1.8084466,5.9766645,1,S2,T cells
4.885413,-4.6926622,14,S2,Neutrophils
-3.2960258,6.8056455,1,S2,T cells
-4.384871,6.1210337,4,S2,Endothelial cells
-1.3830023,6.815921,1,S2,T cells
-2.2910197,7.13728,1,S2,T cells
-4.3321524,7.914612,4,S2,Endothelial cells
-2.7357934,6.9967594,1,S2,T cells
11.876173,12.634671,8,S2,Plasma cells
1.3364177,5.930102,1,S2,T cells
8.147574,1.8481973,7,S2,Dendritic cells
0.1537338,5.805841,1,S2,T cells
-3.7235732,9.842149,4,S2,Endothelial cells
-3.8680408,9.947312,4,S2,Endothelial cells
-0.232141,2.728771,4,S2,Endothelial cells
-1.5398753,6.0704336,1,S2,T cells
-3.049775,4.989301,1,S2,T cells
-3.149171,4.1141205,1,S2,T cells
-4.192591,7.0504985,4,S2,Endothelial cells
0.34094515,5.4455266,1,S2,T cells
-2.4334297,7.7320566,1,S2,T cells
-0.91924274,5.0641527,1,S2,T cells
-1.5070332,5.9767146,1,S2,T cells
-1.4011873,6.7276287,1,S2,T cells
-4.260635,9.504694,4,S2,Endothelial cells
-4.6879745,5.1941895,4,S2,Endothelial cells
18.788855,1.3257959,12,S2,Monocytes
11.997316,12.537745,8,S2,Plasma cells
-4.1924314,5.850402,4,S2,Endothelial cells
-2.947872,4.0559382,1,S2,T cells
8.943288,2.8332603,7,S2,Dendritic cells
-3.639238,3.3106356,4,S2,Endothelial cells
4.806825,-4.475135,14,S2,Neutrophils
8.751016,14.245702,17,S2,Basophils
-1.738442,7.2967377,1,S2,T cells
-3.3668308,7.898906,4,S2,Endothelial cells
1.4612577,2.3241856,0,S2,Fibroblasts
10.985599,12.874751,8,S2,Plasma cells
-1.6066049,6.455871,1,S2,T cells
9.682357,2.7125156,7,S2,Dendritic cells
9.603024,12.59668,17,S2,Basophils
-1.4680383,6.42381,1,S2,T cells
11.307736,12.202816,8,S2,Plasma cells
4.6478662,-4.406023,14,S2,Neutrophils
-3.6612988,9.7635145,4,S2,Endothelial cells
8.941064,12.795482,17,S2,Basophils
-2.260587,5.708358,1,S2,T cells
-4.907463,4.1755567,4,S2,Endothelial cells
-1.6798376,6.430731,1,S2,T cells
-1.3589028,6.1268816,1,S2,T cells
-2.3853395,4.7440896,1,S2,T cells
-5.3797116,4.7123814,4,S2,Endothelial cells
-0.24424845,4.1001387,1,S2,T cells
-2.9955902,2.3388264,4,S2,Endothelial cells
-2.983223,6.417591,1,S2,T cells
-2.525484,6.8966165,1,S2,T cells
-0.1546268,4.8129816,1,S2,T cells
-4.4876313,4.358608,4,S2,Endothelial cells
13.637972,-3.2325819,3,S2,B cells
12.156367,-2.884649,3,S2,B cells
-2.3982813,7.1263256,1,S2,T cells
-3.7146385,9.225902,4,S2,Endothelial cells
-4.616634,6.9700646,4,S2,Endothelial cells
-4.5092897,6.2387867,4,S2,Endothelial cells
14.173815,1.9764643,11,S2,Pericytes
-0.5945558,6.3423476,1,S2,T cells
2.9165976,4.3611946,0,S2,Fibroblasts
0.4393819,4.617694,1,S2,T cells
-0.50328386,6.903163,1,S2,T cells
-0.5748342,4.516869,1,S2,T cells
2.3066728,3.8709834,0,S2,Fibroblasts
8.947632,14.306957,17,S2,Basophils
-3.7169583,5.635278,4,S2,Endothelial cells
-0.65588325,4.2482038,1,S2,T cells
7.309666,7.557311,10,S2,Smooth muscle cells
-0.92707926,5.196987,1,S2,T cells
-3.1541677,4.255555,1,S2,T cells
-3.1507862,3.8735576,1,S2,T cells
-1.3346087,5.8980794,1,S2,T cells
-1.4018617,5.0663157,1,S2,T cells
0.08053817,6.373558,1,S2,T cells
-1.8154191,5.275723,1,S2,T cells
-0.22877158,5.1378064,1,S2,T cells
6.5767875,8.085654,10,S2,Smooth muscle cells
-0.96983135,5.3244658,1,S2,T cells
5.015941,-4.7491093,14,S2,Neutrophils
-1.5528029,8.41257,1,S2,T cells
-2.1445243,6.925387,1,S2,T cells
-1.6970322,7.141729,1,S2,T cells
5.7451158,-4.260567,14,S2,Neutrophils
9.363179,13.874514,17,S2,Basophils
-0.1310267,6.3004475,1,S2,T cells
-3.7193592,3.7364767,4,S2,Endothelial cells
-1.8484987,6.1816664,1,S2,T cells
-3.0802248,2.8915868,4,S2,Endothelial cells
-1.0672129,4.3979225,1,S2,T cells
5.2070837,2.451774,0,S2,Fibroblasts
14.113583,2.193996,11,S2,Pericytes
4.0366507,13.358853,18,S2,Progenitor cells
-1.6042588,5.8155446,1,S2,T cells
-0.05527934,6.8152494,1,S2,T cells
-0.24998455,7.3009295,1,S2,T cells
-0.43214414,4.372444,1,S2,T cells
0.075794965,7.0649004,1,S2,T cells
-4.971952,7.373027,4,S2,Endothelial cells
3.5352566,4.1285534,0,S2,Fibroblasts
-3.0503151,5.323912,1,S2,T cells
-1.7969112,5.523637,1,S2,T cells
-0.73303396,7.939416,1,S2,T cells
17.999449,6.6725073,20,S2,Mesothelial cells
-2.3482351,7.100474,1,S2,T cells
7.255851,7.6496844,10,S2,Smooth muscle cells
9.356997,11.637309,17,S2,Basophils
-1.7583789,6.018368,1,S2,T cells
-4.427088,4.9376163,4,S2,Endothelial cells
-0.12732132,4.2514462,1,S2,T cells
-2.9041047,7.213568,1,S2,T cells
-4.3493757,7.99614,4,S2,Endothelial cells
-0.22939517,4.3171883,1,S2,T cells
-3.1182916,1.7905618,4,S2,Endothelial cells
-0.18252298,5.0851426,1,S2,T cells
-1.2181431,6.566536,1,S2,T cells
-2.2260342,6.830746,1,S2,T cells
-0.67286646,5.0954103,1,S2,T cells
-1.4313046,6.850201,1,S2,T cells
-2.752129,6.394166,1,S2,T cells
-3.9220512,5.678007,4,S2,Endothelial cells
-1.0773908,4.872657,1,S2,T cells
12.785449,14.364233,8,S2,Plasma cells
8.957512,14.200997,17,S2,Basophils
-3.8592763,5.0671926,4,S2,Endothelial cells
-0.23654188,5.284454,1,S2,T cells
-4.582698,5.509757,4,S2,Endothelial cells
-4.6994505,4.142621,4,S2,Endothelial cells
-1.3491975,7.5954742,1,S2,T cells
4.023138,0.55080867,0,S2,Fibroblasts
-5.0896816,3.9836586,4,S2,Endothelial cells
-0.8884741,7.323685,1,S2,T cells
-1.4473085,6.2565436,1,S2,T cells
-3.4249501,5.707678,1,S2,T cells
-0.99101245,5.2021585,1,S2,T cells
11.268882,13.150135,8,S2,Plasma cells
-4.491769,6.6497645,4,S2,Endothelial cells
-4.260094,6.2559485,4,S2,Endothelial cells
-0.9914383,4.346926,1,S2,T cells
-2.3705912,4.7385507,1,S2,T cells
-4.570004,3.9083319,4,S2,Endothelial cells
-2.2220836,6.87315,1,S2,T cells
-2.8656268,5.2640557,1,S2,T cells
-0.5857744,4.451224,1,S2,T cells
12.237254,-2.813736,3,S2,B cells
-2.259269,6.0433455,1,S2,T cells
-4.5082936,9.293603,4,S2,Endothelial cells
-4.569321,5.579161,4,S2,Endothelial cells
1.0216401,2.1639678,0,S2,Fibroblasts
-0.23799063,3.9213784,1,S2,T cells
5.8487773,10.658727,10,S2,Smooth muscle cells
-1.9081557,5.437826,1,S2,T cells
7.4509315,2.19164,7,S2,Dendritic cells
-3.9976442,8.544864,4,S2,Endothelial cells
-4.4572344,6.623845,4,S2,Endothelial cells
-2.56533,6.5964146,1,S2,T cells
4.8167424,-4.1616282,14,S2,Neutrophils
-1.4280797,5.2906585,1,S2,T cells
-1.8171325,4.4896493,1,S2,T cells
8.50864,13.953488,17,S2,Basophils
-4.301166,5.3889065,4,S2,Endothelial cells
4.720007,6.049639,6,S2,Epithelial cells
5.0620527,-4.794554,14,S2,Neutrophils
1.2402201,2.36012,0,S2,Fibroblasts
-0.97721106,3.8039358,1,S2,T cells
5.263343,-4.9020844,14,S2,Neutrophils
-2.8957925,1.8900384,4,S2,Endothelial cells
-0.4619886,6.483577,1,S2,T cells
-0.2140737,6.4624987,1,S2,T cells
-4.214128,6.70581,4,S2,Endothelial cells
-3.7036407,5.842675,4,S2,Endothelial cells
11.45762,13.541509,8,S2,Plasma cells
-1.2059624,4.6050014,1,S2,T cells
-3.6098115,2.8597977,4,S2,Endothelial cells
-2.693693,4.96037,1,S2,T cells
14.14719,1.3338877,11,S2,Pericytes
-1.903337,7.0911727,1,S2,T cells
-4.364781,8.798859,4,S2,Endothelial cells
11.645352,13.157725,8,S2,Plasma cells
-3.49635,6.2530847,1,S2,T cells
-3.7642286,10.512398,4,S2,Endothelial cells
-0.1914025,4.4957776,1,S2,T cells
-1.1926501,1.9312326,4,S2,Endothelial cells
13.188313,-3.3936157,3,S2,B cells
-4.909174,7.752141,4,S2,Endothelial cells
-2.8210087,1.6923977,4,S2,Endothelial cells
-3.18722,6.670391,1,S2,T cells
-1.2879764,6.722097,1,S2,T cells
-1.0036522,4.270088,1,S2,T cells
-1.7414439,6.702716,1,S2,T cells
10.084728,12.649848,17,S2,Basophils
-2.043373,8.419074,1,S2,T cells
-4.064364,6.6150374,4,S2,Endothelial cells
0.4220473,5.900356,1,S2,T cells
-5.3104887,4.0489435,4,S2,Endothelial cells
-4.036133,10.049319,4,S2,Endothelial cells
-0.76564294,4.608035,1,S2,T cells
-2.8089948,1.892728,4,S2,Endothelial cells
-0.89078075,4.1498003,1,S2,T cells
-0.23112583,2.3753428,0,S2,Fibroblasts
4.6966176,7.6568036,6,S2,Epithelial cells
-2.6126635,5.529058,1,S2,T cells
-3.2783127,2.3216226,4,S2,Endothelial cells
-4.448111,4.87321,4,S2,Endothelial cells
1.659431,4.949547,0,S2,Fibroblasts
0.023763476,6.23431,1,S2,T cells
-4.328007,4.4817815,4,S2,Endothelial cells
-2.8956776,6.6641064,1,S2,T cells
-0.79162234,3.9713295,1,S2,T cells
-2.7346861,1.5684656,4,S2,Endothelial cells
13.779669,2.874038,11,S2,Pericytes
-4.909755,6.135154,4,S2,Endothelial cells
-4.2048335,5.423598,4,S2,Endothelial cells
-2.7064393,6.4832354,1,S2,T cells
0.82931674,2.2967227,0,S2,Fibroblasts
-3.63514,6.1854,1,S2,T cells
-4.0701685,3.5468092,4,S2,Endothelial cells
2.827186,9.150694,6,S2,Epithelial cells
3.841708,1.5061831,0,S2,Fibroblasts
5.9686775,-4.711205,14,S2,Neutrophils
-3.7201674,7.190223,4,S2,Endothelial cells
-2.6524777,4.390987,1,S2,T cells
-4.253212,7.489028,4,S2,Endothelial cells
5.0617886,6.6470027,6,S2,Epithelial cells
9.81836,12.623715,17,S2,Basophils
4.752986,6.777754,10,S2,Smooth muscle cells
4.1972766,5.2986636,16,S2,Platelets
1.8043668,6.9389772,6,S2,Epithelial cells
10.263542,9.938543,2,S2,Myeloid cells
0.50608176,4.5852447,1,S2,T cells
9.114476,14.216741,17,S2,Basophils
-3.5452325,5.0368295,4,S2,Endothelial cells
11.572279,13.298581,8,S2,Plasma cells
0.3139073,5.9742785,1,S2,T cells
-0.79455507,6.42965,1,S2,T cells
-2.52122,6.373585,1,S2,T cells
0.20832932,6.061331,1,S2,T cells
7.572824,2.0344563,7,S2,Dendritic cells
11.861646,12.59608,8,S2,Plasma cells
1.1511077,5.4248214,1,S2,T cells
-3.279368,5.907485,1,S2,T cells
-2.3833635,6.6740932,1,S2,T cells
-1.2124922,5.3549786,1,S2,T cells
-4.034713,8.558462,4,S2,Endothelial cells
-3.8747606,5.103238,4,S2,Endothelial cells
-2.578236,6.7458773,1,S2,T cells
2.1947877,5.4237947,0,S2,Fibroblasts
-2.189023,4.3694353,1,S2,T cells
-2.082533,4.8883715,1,S2,T cells
-1.1008044,4.2079797,1,S2,T cells
-1.2935333,5.335941,1,S2,T cells
-3.1615374,6.058284,1,S2,T cells
-0.078542545,4.137619,1,S2,T cells
-0.93492925,5.599794,1,S2,T cells
7.0553756,7.8562036,10,S2,Smooth muscle cells
-0.60153854,7.9434423,1,S2,T cells
-5.136123,5.916043,4,S2,Endothelial cells
5.1294694,3.4612195,0,S2,Fibroblasts
-0.95588976,3.9794867,1,S2,T cells
-4.5816,5.398704,4,S2,Endothelial cells
-0.8306212,3.937337,1,S2,T cells
2.794854,3.694473,0,S2,Fibroblasts
-1.1775073,5.699987,1,S2,T cells
9.327255,3.1445508,7,S2,Dendritic cells
-2.1192553,6.1946325,1,S2,T cells
3.8044603,6.786751,10,S2,Smooth muscle cells
-1.6778507,5.7736144,1,S2,T cells
-0.538826,4.709268,1,S2,T cells
-0.29398772,4.425167,1,S2,T cells
-2.4797683,6.3286834,1,S2,T cells
8.00777,0.45419067,7,S2,Dendritic cells
-5.013947,5.0180197,4,S2,Endothelial cells
-2.1525815,5.922381,1,S2,T cells
-1.4755902,7.0143776,1,S2,T cells
-1.5482112,6.9382005,1,S2,T cells
-1.7222462,7.2252812,1,S2,T cells
-3.4687738,8.070271,4,S2,Endothelial cells
5.6663456,-4.8174896,14,S2,Neutrophils
-0.6137649,3.9588025,1,S2,T cells
-1.088373,5.2356324,1,S2,T cells
-1.7571806,6.315732,1,S2,T cells
-1.8011662,6.220897,1,S2,T cells
-4.663392,7.7169666,4,S2,Endothelial cells
-0.76778567,6.323637,1,S2,T cells
0.4571827,4.427234,1,S2,T cells
9.984025,12.530088,17,S2,Basophils
-0.58119845,4.3471923,1,S2,T cells
4.977207,2.2279882,0,S2,Fibroblasts
2.9214027,4.8989663,0,S2,Fibroblasts
5.439104,-4.690529,14,S2,Neutrophils
-0.76479197,1.7194781,4,S2,Endothelial cells
-0.9736646,6.399571,1,S2,T cells
8.612585,2.509356,7,S2,Dendritic cells
3.1243482,4.182664,0,S2,Fibroblasts
11.645495,10.619081,9,S2,Mast cells
-4.152689,9.884342,4,S2,Endothelial cells
0.8385478,5.923627,1,S2,T cells
11.699576,13.384363,8,S2,Plasma cells
-4.0476913,4.085621,4,S2,Endothelial cells
-2.7744017,2.8758016,4,S2,Endothelial cells
-1.0381856,6.892574,1,S2,T cells
3.4325445,3.499151,0,S2,Fibroblasts
-1.1890215,4.858754,1,S2,T cells
-1.0628998,5.592576,1,S2,T cells
11.59181,12.906049,8,S2,Plasma cells
-3.2662122,2.2090635,4,S2,Endothelial cells
-3.7470174,6.9930677,4,S2,Endothelial cells
9.133177,12.930593,17,S2,Basophils
-1.5739182,5.033058,1,S2,T cells
2.5262904,-3.6975038,14,S2,Neutrophils
-2.4895787,5.364318,1,S2,T cells
0.10518037,4.4083104,1,S2,T cells
-0.43235344,7.13918,1,S2,T cells
-2.4368567,4.3499746,1,S2,T cells
11.947946,9.150359,2,S2,Myeloid cells
9.14684,12.935586,17,S2,Basophils
10.9056015,11.903416,8,S2,Plasma cells
-4.1127396,7.450745,4,S2,Endothelial cells
-2.8042614,4.4039216,1,S2,T cells
-0.00087065075,4.440135,1,S2,T cells
-4.0314445,4.7842755,4,S2,Endothelial cells
5.187987,-4.8832607,14,S2,Neutrophils
-1.3502936,6.1274233,1,S2,T cells
-0.21232235,4.6669803,1,S2,T cells
-2.7426777,6.180704,1,S2,T cells
-3.5676196,3.9253633,4,S2,Endothelial cells
11.406593,13.1026535,8,S2,Plasma cells
-0.7236756,5.1331334,1,S2,T cells
-0.8428593,4.873203,1,S2,T cells
4.732071,-4.689922,14,S2,Neutrophils
-2.170425,8.09656,0,S2,Fibroblasts
-0.042268712,5.3626885,1,S2,T cells
-0.6124429,4.3639445,1,S2,T cells
0.46413302,3.148485,0,S2,Fibroblasts
-3.9241612,8.213006,4,S2,Endothelial cells
-0.960311,6.51618,1,S2,T cells
-2.757804,5.778059,1,S2,T cells
-3.6534967,9.788727,4,S2,Endothelial cells
-1.4483145,5.9592624,1,S2,T cells
-1.4321283,4.5463824,1,S2,T cells
-1.76849,6.651114,1,S2,T cells
-0.8208442,4.8417473,1,S2,T cells
-1.2956065,4.19855,1,S2,T cells
-1.9415213,6.800754,1,S2,T cells
-2.1675334,6.7090864,1,S2,T cells
4.959161,2.2363482,0,S2,Fibroblasts
2.934355,6.5055923,6,S2,Epithelial cells
-3.4788675,8.919974,4,S2,Endothelial cells
-3.248851,2.6393065,4,S2,Endothelial cells
-4.665936,3.1647327,4,S2,Endothelial cells
-3.3216734,8.896195,4,S2,Endothelial cells
-3.592655,4.856241,4,S2,Endothelial cells
-1.0259386,4.444519,1,S2,T cells
-1.1835113,4.696887,1,S2,T cells
10.899354,11.049713,2,S2,Myeloid cells
8.266165,2.6593757,7,S2,Dendritic cells
-3.6623204,6.417872,4,S2,Endothelial cells
-1.0676409,5.2869415,1,S2,T cells
-1.8748176,6.2431636,1,S2,T cells
11.107324,11.746687,8,S2,Plasma cells
-0.44215026,4.919665,0,S2,Fibroblasts
0.5769087,6.4616456,1,S2,T cells
-2.0523565,6.297955,1,S2,T cells
-4.6291413,5.619348,4,S2,Endothelial cells
4.513252,3.8809836,0,S2,Fibroblasts
-3.7264564,9.389085,4,S2,Endothelial cells
-4.1179833,4.033326,4,S2,Endothelial cells
-3.8018775,8.590312,4,S2,Endothelial cells
-0.1935466,6.6611667,1,S2,T cells
-1.6792637,6.313098,1,S2,T cells
2.6389084,8.74829,6,S2,Epithelial cells
-5.410835,5.5591016,4,S2,Endothelial cells
11.045622,12.861697,8,S2,Plasma cells
9.525573,12.897937,17,S2,Basophils
2.4030228,8.791124,6,S2,Epithelial cells
0.028611517,4.5223775,1,S2,T cells
9.371822,3.2449262,7,S2,Dendritic cells
-2.680068,4.9965158,1,S2,T cells
-4.196097,7.4493046,4,S2,Endothelial cells
-1.1029855,4.546171,1,S2,T cells
-2.5230036,5.827363,1,S2,T cells
-3.6505136,10.451981,4,S2,Endothelial cells
-0.44269544,5.546321,1,S2,T cells
0.6877108,5.7020316,1,S2,T cells
-0.8328395,7.0031476,1,S2,T cells
-3.0176384,4.6798983,4,S2,Endothelial cells
2.1388288,2.1180499,0,S2,Fibroblasts
-1.8096607,7.066113,1,S2,T cells
-1.0056546,4.556024,1,S2,T cells
9.873915,12.559204,17,S2,Basophils
-4.126922,6.401538,4,S2,Endothelial cells
-4.45743,9.182879,4,S2,Endothelial cells
-2.5459309,1.8410281,4,S2,Endothelial cells
-0.83023435,6.169985,1,S2,T cells
1.3764279,5.7513638,1,S2,T cells
-1.6190794,5.9041457,1,S2,T cells
14.056093,2.6161892,11,S2,Pericytes
-1.7918069,6.476157,1,S2,T cells
1.171519,5.6286225,1,S2,T cells
-4.12476,7.2365565,4,S2,Endothelial cells
-3.0526307,7.6377435,4,S2,Endothelial cells
-3.4417603,4.25669,4,S2,Endothelial cells
9.70135,12.715534,17,S2,Basophils
-3.9626803,5.1747403,4,S2,Endothelial cells
0.70832515,5.7576575,1,S2,T cells
4.3166313,3.5291946,0,S2,Fibroblasts
10.95971,13.0104265,8,S2,Plasma cells
-1.2520804,7.7847447,0,S2,Fibroblasts
-3.4176776,6.206196,1,S2,T cells
5.3029957,3.6467268,0,S2,Fibroblasts
-1.9835209,7.137642,1,S2,T cells
8.844578,14.318933,17,S2,Basophils
4.461396,1.8670934,0,S2,Fibroblasts
9.251858,3.0485578,7,S2,Dendritic cells
-4.2707553,6.742619,4,S2,Endothelial cells
